[08-May-2019 02:46:50 UTC] PHP Fatal error:  Maximum function nesting level of '256' reached, aborting! in /home/ubuntu/workspace/lifeprice/login/index.html on line 7
[08-May-2019 02:46:50 UTC] PHP Stack trace:
[08-May-2019 02:46:50 UTC] PHP   1. {main}() /home/ubuntu/workspace/lifeprice/login/login.php:0
[08-May-2019 02:46:50 UTC] PHP   2. include() /home/ubuntu/workspace/lifeprice/login/login.php:3
[08-May-2019 02:46:50 UTC] PHP   3. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP   4. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP   5. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP   6. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP   7. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP   8. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP   9. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  10. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  11. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  12. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  13. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  14. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  15. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  16. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  17. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  18. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  19. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  20. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  21. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  22. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  23. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  24. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  25. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  26. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  27. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  28. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  29. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  30. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  31. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  32. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  33. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  34. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  35. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  36. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  37. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  38. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  39. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  40. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  41. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  42. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  43. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  44. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
[08-May-2019 02:46:50 UTC] PHP  45. include() /home/ubuntu/workspace/lifeprice/login/index.html:9
